,state,pct_black,hispanic,pct_free,reduced,Country1,Country2,local_exp,federal_exp,LP ID,URL,Product Name,Provider/Company Name,Sector(s),Primary Essential Function
0,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,13117.0,https://www.splashmath.com,SplashLearn,StudyPad Inc.,PreK-12,LC - Digital Learning Platforms
1,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,66933.0,https://abcmouse.com,ABCmouse.com,"Age of Learning, Inc ",PreK-12,LC - Digital Learning Platforms
2,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,50479.0,https://www.abcya.com,ABCya!,"ABCya.com, LLC",PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
3,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,92993.0,http://www.aleks.com/,ALEKS,McGraw-Hill PreK-12,PreK-12; Higher Ed,LC - Digital Learning Platforms
4,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,73104.0,https://www.achieve3000.com/,Achieve3000,Achieve3000,PreK-12,LC - Digital Learning Platforms
5,22.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,37600.0,http://www.activelylearn.com/,Actively Learn,Actively Learn,PreK-12,LC - Digital Learning Platforms
6,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,18663.0,http://www.adaptedmind.com,AdaptedMind,GloWorld,PreK-12,LC - Digital Learning Platforms
7,14.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,65131.0,http://www.amplify.com/,Amplify,"Amplify Education, Inc.",PreK-12,LC - Courseware & Textbooks
8,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,26491.0,http://www.answers.com/,Answers,Answers,PreK-12; Higher Ed,LC - Study Tools - Q&A
9,14.0,0.6324555320336759,-0.5108256237659907,0.6,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,56441.0,http://www.audible.com,Audible,"Amazon.com, Inc. ",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Streaming Services"
10,10.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-33572868438855.062,0.005100200071153044,9.210340371976184,9.392661928770137,89802.0,http://bartleby.com/,Bartleby,Bartleby,PreK-12; Higher Ed,LC - Study Tools
11,21.0,0.6324555320336759,-0.5108256237659907,0.4,0.49797297297297366,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,72703.0,http://betterlesson.com/,Better Lesson,BetterLesson,PreK-12; Higher Ed,CM - Teacher Resources - Professional Learning
12,2.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,76889.0,https://www.blackboard.com/,Blackboard,Blackboard Inc,PreK-12; Higher Ed,SDO - Learning Management Systems (LMS)
13,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.554212212007455,9.682406981171667,49563.0,https://bookcreator.com/,Book Creator,"Tools for Schools, Inc. (Book Creator)",PreK-12,LC - Content Creation & Curation
14,13.0,0.0,-1.6094379124341003,0.2,0.4,-33572868438855.062,0.005100200071153044,9.554212212007455,9.682406981171667,55589.0,http://www.brainpop.com/,BrainPOP,BrainPOP LLC,PreK-12,LC - Digital Learning Platforms
15,19.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,84652.0,http://www.ck12.org,CK-12,CK-12 Foundation,PreK-12,LC - Digital Learning Platforms
16,6.0,0.8944271909999159,0.0,0.8,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,16633.0,http://www.cnn.com/cnn10,CNN Student News,Cable News Network,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
17,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,47364.0,https://www.canvas.net/,Canvas,"Instructure, Inc. ",PreK-12; Higher Ed; Corporate,LC - Online Course Providers & Technical Skills Development
18,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,50104.0,http://www.chegg.com/,Chegg,Chegg,PreK-12; Higher Ed,LC - Study Tools
19,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,47267.0,http://www.classdojo.com/,ClassDojo,"ClassDojo, Inc.",PreK-12,CM - Classroom Engagement & Instruction - Communication & Messaging
20,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,76649.0,https://clever.com/,Clever,Clever,PreK-12,SDO - School Management Software - SSO
21,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,96116.0,http://www.cliffsnotes.com,CliffsNotes,Houghton Mifflin Harcourt,PreK-12; Higher Ed,LC - Study Tools
22,2.0,0.4472135954999579,-0.916290731874155,0.4,0.49797297297297366,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,85975.0,http://www.code.org,Code.org,Code.org,PreK-12,LC - Digital Learning Platforms
23,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,94158.0,http://www.coolmath.com,CoolMath,Constructive Media,PreK-12,"LC - Sites, Resources & Reference"
24,5.0,0.8944271909999159,0.0,0.8,0.49797297297297366,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,64947.0,http://www.desmos.com,Desmos,Desmos,PreK-12; Higher Ed,LC - Study Tools
25,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,15225.0,http://www.merriam-webster.com/,Dictionary - Merriam-Webster,Merriam-Webster,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary"
26,20.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,14168.0,http://dictionary.com,Dictionary.com,Dictionary.com,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Thesaurus & Dictionary"
27,10.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,28633.0,http://www.discoveryeducation.com/,Discovery Education,Discovery Communications,PreK-12,LC - Digital Learning Platforms
28,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,71279.0,http://www.dreambox.com/,DreamBox,Dreambox Learning,PreK-12,LC - Digital Learning Platforms
29,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,98001.0,http://www.dropbox.com,Dropbox,Dropbox,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
30,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,43491.0,http://duolingo.com/,Duolingo,Duolingo,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
31,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,35971.0,http://www.edpuzzle.com/,Edpuzzle,EDpuzzle Inc.,PreK-12,LC - Digital Learning Platforms
32,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,50712.0,http://earthquake.usgs.gov/learn/kids/,Earthquakes for Kids,US Geological Survey,PreK-12,"LC - Sites, Resources & Reference"
33,21.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,57724.0,http://www.easybib.com/,EasyBib,Imagine Easy Solutions,PreK-12; Higher Ed,LC - Study Tools
34,5.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,95253.0,http://www.edgenuity.com/,Edgenuity,Edgenuity Inc.,PreK-12; Higher Ed; Corporate,LC - Digital Learning Platforms
35,2.0,0.7745966692414834,-0.2231435513142097,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,56695.0,http://ellevationeducation.com/,Ellevation,Ellevation,PreK-12,"SDO - Data, Analytics & Reporting"
36,19.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,54430.0,http://www.britannica.com/,Encyclopedia Britannica,"Encyclopaedia Britannica, Inc.",PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Encyclopedia"
37,2.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,26970.0,https://www.engageny.org/,EngageNY,New York State Education Department,PreK-12,"LC - Sites, Resources & Reference"
38,2.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,98402.0,https://www.reflexmath.com/,Reflex Math,"ExploreLearning, LLC",PreK-12,LC - Digital Learning Platforms
39,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,13983.0,http://www.facebook.com/,Facebook,Facebook,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
40,16.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,19044.0,https://fligprid.com,Flipgrid,Flipgrid,PreK-12,LC - Content Creation & Curation
41,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,16753.0,http://www.flocabulary.com/,Flocabulary,Flocabulary,PreK-12; Higher Ed,LC - Digital Learning Platforms
42,2.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,83076.0,http://www.geogebra.org,GeoGebra,GeoGebra,PreK-12,LC - Study Tools
43,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,23927.0,https://goguardian.com/,GoGuardian,GoGuardian,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
44,12.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,86703.0,https://www.gonoodle.com/,GoNoodle,HealthTeacher,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
45,19.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,77698.0,http://www.goodreads.com,Goodreads,Goodreads,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
46,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,72713.0,http://www.google.com/books,Google Books,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
47,1.0,0.6324555320336759,-0.5108256237659907,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,30851.0,https://www.google.com/chrome/,Google Chrome,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
48,2.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,95731.0,http://docs.google.com/,Google Docs,Google LLC,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
49,3.0,0.8944271909999159,0.0,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,99916.0,https://drive.google.com/start,Google Drive,Google LLC,PreK-12; Higher Ed; Corporate,LC/CM/SDO - Other
50,5.0,0.7745966692414834,-0.2231435513142097,0.6,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,11206.0,http://www.google.com/earth/,Google Earth,Google LLC,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
51,13.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,33185.0,http://www.google.com/forms/about/,Google Forms,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Assessment & Classroom Response
52,9.0,0.6324555320336759,-0.5108256237659907,0.6,0.49797297297297366,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,48333.0,https://hangouts.google.com/,Google Hangouts,Google LLC,PreK-12; Higher Ed; Corporate,CM - Virtual Classroom - Video Conferencing & Screen Sharing
53,2.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,69827.0,http://sites.google.com/,Google Sites,Google LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Site Hosting & Data Warehousing"
54,5.0,0.7745966692414834,-0.2231435513142097,0.4,0.49797297297297366,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,16406.0,http://translate.google.com/,Google Translate,Google LLC,PreK-12; Higher Ed; Corporate,LC - Study Tools
55,19.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,21917.0,https://voice.google.com,Google Voice,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging
56,5.0,0.4472135954999579,-0.916290731874155,0.0,0.34121621621621584,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,52448.0,http://plus.google.com/,Google Currents,Google LLC,PreK-12; Higher Ed; Corporate,CM - Classroom Engagement & Instruction - Communication & Messaging
57,10.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,51340.0,https://www.grammarly.com/,Grammarly,Grammarly,PreK-12; Higher Ed; Corporate,LC - Study Tools
58,5.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,95767.0,http://hapara.com/,Hapara,Hapara,PreK-12,CM - Classroom Engagement & Instruction - Classroom Management
59,2.0,0.7745966692414834,-0.2231435513142097,0.4,0.49797297297297366,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,33624.0,http://www.howstuffworks.com/,HowStuffWorks,HowStuffWorks,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
60,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,80616.0,https://www.ixl.com/math/,IXL Math,IXL Learning,PreK-12,LC - Digital Learning Platforms
61,2.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,,,,,,
62,16.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,35007.0,http://www.imaginelearning.com/,Imagine Learning,Imagine Learning,PreK-12,LC - Digital Learning Platforms
63,3.0,0.6324555320336759,-0.5108256237659907,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,72784.0,http://www.infinitecampus.com/,Infinite Campus,Infinite Campus,PreK-12,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)"
64,2.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,18904.0,http://www.instructables.com/,Instructables," Autodesk, Inc",PreK-12,"LC - Sites, Resources & Reference"
65,6.0,0.4472135954999579,-0.916290731874155,0.6,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,50762.0,http://archive.org/,Internet Archive,The Internet Archive,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference - Digital Collection & Repository"
66,19.0,0.4472135954999579,-0.916290731874155,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,59257.0,http://www.issuu.com,Issuu,Issuu,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
67,1.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,26881.0,http://www.istation.com,iStation,Istation,PreK-12,LC - Digital Learning Platforms
68,0.0,0.8944271909999159,0.0,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,84217.0,http://blogs.kqed.org/education/e-books/,KQED E-books,KQED,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
69,18.0,0.7745966692414834,-0.2231435513142097,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,24711.0,https://kahoot.it,Kahoot!,Kahoot! AS,PreK-12; Higher Ed; Corporate,LC - Study Tools
70,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,29322.0,http://www.khanacademy.org,Khan Academy,Khan Academy,PreK-12; Higher Ed,LC - Digital Learning Platforms
71,5.0,0.6324555320336759,-0.5108256237659907,0.4,0.49797297297297366,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,52175.0,http://www.washingtonpost.com/lifestyle/kidspost,The Washington Post KidsPost,Washington Post,PreK-12,"LC - Sites, Resources & Reference"
72,1.0,0.7745966692414834,-0.2231435513142097,0.4,0.49797297297297366,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,30025.0,http://www.learnzillion.com/,LearnZillion,LearnZillion,PreK-12,LC - Courseware & Textbooks
73,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,29921.0,http://www.learninga-z.com/index.html,Learning A-Z,Learning A-Z,PreK-12,LC - Courseware & Textbooks
74,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,25559.0,http://www.lexialearning.com/,Lexia Core5 Reading,Lexia Learning,PreK-12,LC - Digital Learning Platforms
75,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,10650.0,http://www.loc.gov,Library of Congress,Library of Congress,PreK-12; Higher Ed; Corporate,"LC - Sites, Resources & Reference"
76,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,41587.0,http://www.linkedin.com,LinkedIn,LinkedIn,PreK-12; Higher Ed; Corporate,LC - Career Planning & Job Search
77,13.0,0.0,-1.6094379124341003,0.2,0.4,-33572868438855.062,0.005100200071153044,9.546812608597396,9.680344001221918,36102.0,https://littlealchemy.com/,Little Alchemy,Jakub Koziol,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
78,5.0,0.4472135954999579,-0.916290731874155,0.8,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,94954.0,https://www.masteryconnect.com/,MasteryConnect,MasteryConnect,PreK-12,LC - Digital Learning Platforms
79,19.0,0.0,-1.6094379124341003,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,92867.0,http://www.mathplayground.com,Math Playground,Math Playground,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
80,18.0,0.6324555320336759,-0.5108256237659907,0.4,0.49797297297297366,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,57949.0,https://mathway.com/mobile,Mathway,Mathway,PreK-12; Higher Ed,LC - Study Tools
81,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,81127.0,http://spaceplace.nasa.gov,NASA's Space Place,NASA,PreK-12,"LC - Sites, Resources & Reference"
82,21.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.392661928770137,9.546812608597396,16468.0,http://www.archives.gov/,National Archives,United States National Archives,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
83,1.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,55031.0,https://nearpod.com/,Nearpod,Nearpod Inc.,PreK-12,LC - Digital Learning Platforms
84,14.0,0.6324555320336759,-0.5108256237659907,0.6,0.49797297297297366,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,97280.0,http://www.newsela.com,Newsela,Newsela,PreK-12,LC - Digital Learning Platforms
85,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,62934.0,http://www.noredink.com/,NoRedInk,NoRedInk,PreK-12,LC - Digital Learning Platforms
86,7.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.546812608597396,9.680344001221918,19181.0,http://noodletools.com/,NoodleTools,NoodleTools,PreK-12; Higher Ed,LC - Study Tools
87,2.0,0.0,-1.6094379124341003,0.2,0.4,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,26372.0,https://www.overdrive.com/,OverDrive Education,OverDrive,PreK-12; Higher Ed,"LC - Sites, Resources & Reference - Digital Collection & Repository"
88,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,51853.0,http://pbskids.org/,PBS Kids,PBS,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
89,22.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.210340371976184,9.392661928770137,86575.0,http://www.pbslearningmedia.org/,PBS LearningMedia,PBS,PreK-12,LC - Digital Learning Platforms
90,5.0,0.4472135954999579,-0.916290731874155,0.2,0.4,-58858165002496.625,0.0,9.554212212007455,9.682406981171667,73101.0,http://padlet.com/,Padlet,Padlet,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
91,2.0,0.4472135954999579,-0.916290731874155,0.4,0.49797297297297366,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,44853.0,https://www.panoramaed.com/,Panorama Education,Panorama Education,PreK-12,SDO - Human Resources
92,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,90440.0,https://www.pebblego.com/login.php,PebbleGo,Capstone,PreK-12,LC - Digital Learning Platforms
93,17.0,0.0,-1.6094379124341003,0.23918918918918894,0.4391891891891895,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,37017.0,https://pixlr.com/,Pixlr,Pixlr,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
94,2.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,92871.0,https://www.powerschool.com/,PowerSchool,PowerSchool Group LLC,PreK-12; Higher Ed; Corporate,"SDO - Data, Analytics & Reporting - Student Information Systems (SIS)"
95,19.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,65358.0,http://www.prezi.com,Prezi,Prezi Inc.,PreK-12; Higher Ed; Corporate,LC - Content Creation & Curation
96,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,64948.0,https://prodigygame.com/,Prodigy,SMARTeacher Inc.,PreK-12,"LC - Sites, Resources & Reference - Games & Simulations"
97,16.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,49570.0,http://www.ptable.com/,Ptable,Michael Dayah,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
98,19.0,0.0,-1.6094379124341003,0.2,0.4,-58858165002496.625,0.0,9.00401726795742,9.218814897329217,23483.0,http://owl.english.purdue.edu/,Purdue Online Writing Lab,Online Writing Lab,PreK-12; Higher Ed,"LC - Sites, Resources & Reference"
99,16.0,0.0,-1.6094379124341003,0.0,0.34121621621621584,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,49062.0,http://www.quia.com/web,Quia Web,IXL Learning,PreK-12,LC - Digital Learning Platforms
100,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,20594.0,http://www.quill.org/,Quill,Quill.org,PreK-12,LC - Study Tools
101,23.0,0.3738619093632396,-1.0794783340815637,0.23918918918918894,0.4391891891891895,-33572868438855.062,0.005100200071153044,9.347889107988692,9.50855994973075,98265.0,http://quizlet.com/,Quizlet,Quizlet,PreK-12,LC - Study Tools
102,1.0,0.4472135954999579,-0.916290731874155,0.0,0.34121621621621584,-58858165002496.625,0.0,9.347889107988692,9.50855994973075,80144.0,https://www.quora.com/,Quora,Quora,PreK-12; Higher Ed; Corporate,LC - Study Tools - Q&A
